correct_spelling,wrong_spelling1,wrong_spelling2,wrong_spelling3,wrong_spelling4,wrong_spelling5,english_meaning,emotion_category
nakara,naakara,nakra,naakra,nakkara,nakarah,useless or idle,anger
bewakoof,bewkoof,bewakuf,bewakof,bewaqoof,bevakuf,foolish,anger
bayhooda,behooda,behoooda,bayhoooda,bayhoda,bayhooda,useless or nonsense,anger
haywan,haiwan,hewan,hywan,haywaan,hayvaan,animal or brute,anger
zalil,zaalil,zaleel,zaaleel,zalill,zalheel,disgraced or humiliated,anger
badtameez,badtamizh,badtamize,badtemeez,badtamiz,badthameez,ill-mannered,anger
dhoka,dhukka,dhokha,dhokhaa,doka,dhokaa,deception,anger
bewafai,bewafaai,bewafaee,bewafaaii,bewafaee,bewaffai,disloyalty,anger
dagha,daagha,daghaa,daghaah,daghha,daga,trick or betrayal,anger
jaali,jali,jaalii,jaale,jaalii,jaaley,fake or counterfeit,anger
farebi,farebee,farabi,farebhi,farebee,farebe,deceptive,anger
zulm,zullum,zulam,zulmz,zulumm,zulamm,oppression or cruelty,anger
istimal,istemaal,istemal,istimaal,istemall,istmal,use or exploitation,anger
maar,marr,maarh,maahr,maarrh,maaar,hit or beat,anger
maar peet,maar pit,maar peeth,maar peetth,maaar peet,maar peat,fighting or beating,anger
peet,pit,peeth,peetth,peat,pitt,hitting,anger
peetna,pitna,peetnaa,pitnaa,peethna,peetana,to beat,anger
kuchal,kuchhal,kuchhalh,kuchaal,kuchaalh,kuchl,crush,anger
kuchalna,kuchhalna,kuchaalna,kuchlna,kuchlana,kuchchna,to crush,anger
tor,torh,toar,torr,torhh,tohr,break,anger
phar,pharr,phaar,pharrh,far,farr,tear,anger
tabah,tabaah,tabaa,tabha,tabbah,tabbha,ruined,anger
barbaad,barbad,barbaadh,barbaadhh,barbaadhh,barbaadn,destroyed or ruined,anger
zehr,zeher,zehrh,zehrh,zahr,zaher,poison,anger
pagalpan,pagalpann,pagal pun,pagalpanh,paagalpan,pagalpaun,madness,anger
sar ghoom gaya,sar ghum gaya,sar ghom gaya,sir ghoom gaya,sar ghoom gaaya,sir ghom gaya,dizzy or mentally off,anger
dimaagh kharab,dimagh kharab,demagh kharab,demaagh kharab,dimag kharaab,demag khraab,mind messed up,anger
ulta seedha bolna,ulta sidha bolna,ulta sedha bolna,ultaa seedha bolna,ulta seidha bolna,ulta seehda bolna,talking nonsense or angrily,anger
andaaz dekh,andaaz dekhh,andaz dekh,andaz dek,andaz dekhh,andaaz dekhh,look at the attitude,anger
dil jal gaya,dil jall gaya,dill jal gaya,dil jal gaaya,dil jala gaya,dil jal gyaa,burned with anger or jealousy,anger
ghussay mein laal,ghusse mein laal,ghussay mai laal,ghusse mai laal,ghussay men laal,ghussey mein laal,red with anger,anger
chillana,chilana,chillanaa,chilanaa,chillna,chillanaa,to shout or yell,anger
dantna,daantna,danthna,dantnaa,daantnaa,dhantna,to scold,anger
phat gaya,fat gaya,fatt gaya,phatt gaya,phat gaaya,phatt gaaya,burst out or exploded (in anger),anger
tang aa gaya,tang aagaya,tung aa gaya,tang agaya,tang gaaya,tang gyaa,got fed up,anger
barish-e-ghussa,barish e ghussa,barish e gussa,barish e ghussaa,barish ghussa,barish-e-ghusa,rain of anger (metaphor for intense rage),anger
dimagh ka dahi,dimaagh ka dahi,dimag ka dahi,demagh ka dahi,dimag ka dahii,demag ka dahii,mind turned to mush (from anger/stress),anger
tooba tooba,toba toba,toobah toobah,tobaa tobba,toobaa tooba,tooba tobba,expression of shock or disapproval,anger
ulta jawab,ultaa jawab,ulta jawaab,ultah jawab,ultah jawaab,ultaj jawab,sarcastic or rude reply,anger
ghussa chadhna,gussa chadhna,ghussa chadhnaa,gussa chadna,ghussah chadna,gussa chadhna,anger rising,anger
jal kar raakh,jal kar raak,jal kar raakhh,jal kar raakha,jal kar raakjh,jal kar raakhh,burnt to ashes ( extreme anger),anger
phat jaana,fat jana,phatt jaana,fatt jaana,phatt jaanaa,fat jaanaa,to explode (emotionally),anger
had ho gayi,hadd ho gayi,hud ho gayi,had hogayi,hadd hogayi,hadd ho gyi,that’s too much / limit crossed,anger
theek,thik,theik,thek,thiek,teek,okay or fine,neutral
acha,achha,achaah,achhaa,achcha,achchaa,good or alright,neutral
thik,thikk,theek,thikah,thikh,thikkh,fine,neutral
bas,buss,basst,bussah,bus,bussn,enough or just,neutral
abhi,abhee,abhii,abhe,abhey,abhiy,now,neutral
haan,han,haanv,hann,haaan,hun,yes,neutral
nahin,nahi,nahin,nhe,nheeen,nehi,no,neutral
shayad,shaydh,shyed,shyaad,shyaadh,shiad,maybe or perhaps,neutral
pata,pataa,pataah,pataaah,pattah,patta,known or clue,neutral
baat,baath,baaat,baatt,baathh,bath,talk or matter,neutral
soch,soc,sooch,soochh,souch,sauch,thought,neutral
sochna,socna,soochna,souchna,soochnaa,souchnaa,to think,neutral
chup,chhup,chupn,chupp,chhupp,chuph,silent,neutral
shaant,shant,shaantn,shaantt,shantt,shaantt,calm or quiet,neutral
aaraam,aaraammm,aram,aaram,aaraamm,araam,comfort or rest,neutral
thehra,thehraa,thehara,theharaaa,thehraaa,thehrah,still or stable,neutral
sabr,sabar,sabrr,sabarr,sabrrh,sabrh,patience,neutral
dheere,dhira,dheiray,dhire,dheeree,dhiri,slowly or gently,neutral
sunta,sunnta,suntaa,suntaah,sunthaa,sunhta,listening,neutral
suno,sunno,sunoo,sunhoo,sunho,sunoh,listen,neutral
baith,baithh,beth,bhaith,bhaithh,bethh,sit,neutral
baithna,baithnaa,bhaithna,bhaithnaa,bethna,bethnaa,to sit,neutral
dekho,dekhoo,dekhoo,dekhho,dekhoh,dekhu,look or see,neutral
dekhna,dekhnaa,dekna,deekhna,deekhnaa,dekhhna,to see or observe,neutral
rukna,rukhna,rookna,rooknaa,ruknaa,ruknna,to stop,neutral
ruk,rukh,rook,rukkk,rukhh,rukk,stop,neutral
chalo,challo,chaloo,chaloh,challu,chalooh,let’s go or move,neutral
chalta,chaltta,chal tha,chaltha,chalthaa,chaltta,working or moving,neutral
seedha,sidha,seeda,sida,sidhaa,seedhaa,straight or direct,neutral
saaf,saaph,saf,saaff,saafh,saaphh,clean or clear,neutral
theek hai,thik hai,theek hy,thik h,thek hai,theekh hai,okay / all good,neutral
acha tha,achha tha,achaa tha,achha thaah,acha thaa,achchaa tha,was good,neutral
koi baat nahi,koi baat nai,koi baat nh,koi baat nhi,koi baat nahe,koi baat nahi,no problem / it’s fine,neutral
waise,waisay,waisae,waisey,wesay,waisa,generally / by the way,neutral
shayad nahi,shayed nahi,shayadh nahi,shiad nahi,shyed nahi,shyaad nahi,maybe not,neutral
chalo theek,challo theek,chaloo theek,chalo thik,chalo thek,chalo tik,okay then,neutral
acha laga,achha laga,acha lagga,achaa lagaa,achha lagaa,achchaa laga,felt good,neutral
thoda,thorah,thora,thorra,thodha,thodaah,a little,neutral
zyada,ziyada,ziyadah,ziada,zyadaah,ziyad,more or too much,neutral
kam,kumm,kamm,kamn,kaam,kham,less or little,neutral
itna,itnaa,itnaah,ithna,etna,ethna,this much,neutral
utna,uthna,utnaa,utnah,utnaah,utnahh,that much,neutral
kabhi,kabhee,kbhi,kabhii,kbhee,kabi,sometimes,neutral
hamesha,hameshaa,hameshha,hmesha,hameshaaah,hmaysha,always,neutral
waqt,waqat,waqth,vaqt,vakt,vukt,time,neutral
baad,badh,baadh,baadhh,baaad,bad,after or later,neutral
pehle,pehlay,pehleh,pehly,pehlae,pehley,before or first,neutral
aaj,aajh,aajjj,aj,ajj,aajj,today,neutral
kal,kall,kull,kul,khal,kullh,tomorrow / yesterday (context),neutral
ab,abb,ub,abh,ubbb,abbh,now,neutral
phir,fir,firr,phirr,firrh,firh,then / again,neutral
baar,bar,barr,baarh,baahr,bhar,time / instance,neutral
thoda sa,thoda saa,thorah sa,thora sa,thoda sah,thoda saa,a little bit,neutral
aisa,aisaah,aisaa,aesa,aesaah,aisaah,like this / such,neutral
waisa,waisaah,waisaa,waesa,waesah,waisaah,like that,neutral
sab,subb,sabh,sabbb,sabn,saab,all / everyone,neutral
kuch,kuchh,kutch,kuchhh,kuchch,kucch,something,neutral
kisi,kisii,kisse,kissy,kesi,kissy,someone / anyone,neutral
kahan,kaha,kahaan,kahahn,kahanh,kahaa,where,neutral
kaise,kaisay,kesay,kaisey,kese,kaisy,how,neutral
wah,waah,wahh,waaah,vaah,wahhh,wow,sarcasm
shabash,shabaash,shabass,shabaass,shabashh,shabaashh,well done,sarcasm
mashallah,mashalla,mashala,mashallh,mashallha,mshalla,mashallah,sarcasm
zabardast,zabrdast,zabardst,zbrdast,zabardastt,zabardasst,awesome,sarcasm
kamaal,kamal,kmaal,kamall,kamaaal,kammal,amazing,sarcasm
acha,a6a,axha,achha,aacha,achah,good,sarcasm
nice,naice,nais,naise,naicee,naisss,nice,sarcasm
good,gud,god,goood,guud,guddd,good,sarcasm
great,grat,gr8,greaat,greaatt,grreat,great,sarcasm
awesome,awsome,osum,awsum,oosum,awsom,awesome,sarcasm
lol,loll,lool,loool,lolll,lolz,laugh out loud,sarcasm
wow,woow,wooow,woooow,wooooow,woooooow,wow,sarcasm
slay,slayy,slayyy,slayyyyy,slaay,slae,slay,sarcasm
thanks,thx,thanx,thnks,thnx,thanku,thanks,sarcasm
ok,okay,okey,okie,okkk,okayy,okay,sarcasm
sure,shoor,shore,shoore,suree,shure,sure,sarcasm
really,rly,rely,relly,reallyy,rly,really,sarcasm
whatever,watvr,watever,whatevr,whateva,watva,whatever,sarcasm
periodt,period,periodtt,periodddd,period,periodttt,period,sarcasm
yass,yasss,yassss,yasssss,yas,yass,yes,sarcasm
wahiyaad,wahiyad,wahiyaad,wahiyad,wahiyaad,wahiyaad,wow,sarcasm
kya baat,kya bat,kia baat,kya baat,kia bat,kya baath,what thing,sarcasm
kya scene,kya scene,kia scene,kya seen,kia seen,kya sceen,what scene,sarcasm
jeet gaye,jeet gye,jeet gaye,jeet gye,jeet gay,jeet gy,you won,sarcasm
theek hai,thik hai,theek hy,thik hy,theek hai,thik hai,okay,sarcasm
sahi hai,shi hai,sahi hy,shi hy,sahi hai,shi hai,right,sarcasm
excellent,excelent,excelent,excelent,excellent,excelent,excellent,sarcasm
impressive,impresive,impressiv,impresiv,impressive,impressiv,impressive,sarcasm
remarkable,remarkble,remarkabl,remarkble,remarkable,remarkabl,remarkable,sarcasm
incredible,incredble,incredibl,incredble,incredible,incredibl,incredible,sarcasm
sheesh,sheeesh,sheeeesh,sheeeeeesh,sheeshh,sheessh,sheesh,sarcasm
pog,pogg,poggg,pogggg,pog,pog,pog,sarcasm
based,basedd,baseddd,basedddd,based,based,based,sarcasm
ratio,ratioo,ratiooo,ratioooo,ratio,ratio,ratio,sarcasm
L,L.,L!,L,,L.,L,sarcasm
W,W.,W!,W,,W.,W,sarcasm
mid,mid.,mid!,mid,,mid.,mid,sarcasm
cringe,cringe.,cringe!,cringe,,cringe.,cringe,sarcasm
skibidi,skibidii,skibidiii,skibidiiii,skibidi,skibidi,skibidi,sarcasm
sigma,sigmaa,sigmmaa,sigmaaa,sigma,sigma,sigma,sarcasm
rizz,rizz.,rizz!,rizz,,rizz.,rizz,sarcasm
gyatt,gyatt.,gyatt!,gyatt,,gyatt.,gyatt,sarcasm
grimace,grimace.,grimace!,grimace,,grimace.,grimace,sarcasm
bussin,bussin.,bussin!,bussin,,bussin.,bussin,sarcasm
no cap,no cap.,no cap!,no cap,,no cap.,no cap,sarcasm
bohat aala,bohot aala,bohat alla,bohot alla,bohat aalaa,bohot aalaa,very high,sarcasm
kya baat hai,kya bat hai,kia baat hai,kya baat hy,kia bat hy,kya baath hai,what thing is,sarcasm
kya scene hai,kya scene hy,kia scene hai,kya seen hai,kia seen hy,kya sceen hai,what scene is,sarcasm
subhanallah,subhanalla,subhanala,subhanallh,subhanallha,subhanala,subhanallah,sarcasm
alhamdulillah,alhamdulilla,alhamdulila,alhamdulillh,alhamdulillha,alhamdulila,alhamdulillah,sarcasm
masha allah,masha alla,masha ala,masha allh,masha allha,masha ala,masha allah,sarcasm
insha allah,insha alla,insha ala,insha allh,insha allha,insha ala,insha allah,sarcasm
astaghfirullah,astaghfirulla,astaghfirula,astaghfirullh,astaghfirullha,astaghfirula,astaghfirullah,sarcasm
ya allah,ya alla,ya ala,ya allh,ya allha,ya ala,ya allah,sarcasm
subhan allah,subhan alla,subhan ala,subhan allh,subhan allha,subhan ala,subhan allah,sarcasm
fantastic,fantastik,fantstic,fantastick,fantasticc,fantastik,fantastic,sarcasm
outstanding,outstandng,outstandin,outstandng,outstandding,outstandingg,outstanding,sarcasm
unbelievable,unbelievble,unbelievabl,unbelievble,unbelievable,unbelievabl,unbelievable,sarcasm
spectacular,spectaculr,spectaclar,spectaculr,spectacular,spectaclar,spectacular,sarcasm
marvelous,marvelus,marvelous,marvelus,marvelous,marvelus,marvelous,sarcasm
splendid,splendd,splendid,splendd,splendid,splendid,splendid,sarcasm
extraordinary,extraordnry,extraordinry,extraordnry,extraordinary,extraordinry,extraordinary,sarcasm
phenomenal,phenomenl,phenomenal,phenomenl,phenomenal,phenomenal,phenomenal,sarcasm
exceptional,exceptional,exceptional,exceptional,exceptional,exceptional,exceptional,sarcasm
magnificent,magnificent,magnificent,magnificent,magnificent,magnificent,magnificent,sarcasm
glorious,glorious,glorious,glorious,glorious,glorious,glorious,sarcasm
random,random.,random!,random,,random.,random,sarcasm
weird,weird.,weird!,weird,,weird.,weird,sarcasm
sus,sus.,sus!,sus,,sus.,sus,sarcasm
cap,capp,cappp,capppp,cap,cap,lie,sarcasm
fr,frr,frrr,frrrr,fr,fr,for real,sarcasm
dead,ded,deadd,dedd,dead,ded,dead,sarcasm
iconic,iconicc,iconiccc,iconic,iconic,iconic,iconic,sarcasm
fanum tax,fanum taxx,fanum taxxx,fanum taxxxx,fanum tax,fanum tax,fanum tax,sarcasm
ohio,ohio.,ohio!,ohio,,ohio.,ohio,sarcasm
npc,npc.,npc!,npc,,npc.,npc,sarcasm
bet,bett,bettt,betttt,bet,bet,bet,sarcasm
drip,dripp,drippp,dripppp,drip,drip,style,sarcasm
fire,fire.,fire!,fire,,fire.,fire,sarcasm
goated,goated.,goated!,goated,,goated.,goated,sarcasm
valid,valid.,valid!,valid,,valid.,valid,sarcasm
lmao,lmaoo,lmaooo,lmaoooo,lmao,lmao,laughing my ass off,sarcasm
lmfao,lmfaoo,lmfao,lmfaooo,lmfao,lmfaoooo,laughing my fucking ass off,sarcasm
rofl,rofll,rooﬂ,rooﬂl,roﬂ,roﬂl,rolling on floor laughing,sarcasm
haha,hahaa,hahaha,hahahaa,hahahaha,hahahahaa,haha,sarcasm
hehe,hehee,hehehe,hehehee,hehehehe,hehehehee,hehe,sarcasm
xd,xdd,xddd,xdddd,xd,xd,laughing,sarcasm
xdxd,xdxdd,xdxddd,xdxdddd,xdxd,xdxd,laughing,sarcasm
lul,lull,lulll,lullll,lul,lul,laughing,sarcasm
kek,kekk,kekkk,kekkkk,kek,kek,laughing,sarcasm
pfft,pfftt,pffttt,pfftttt,pfft,pfft,dismissive,sarcasm
meh,mehh,mehhh,mehhhh,meh,meh,indifferent,sarcasm
bruh,bruhh,bruhhh,bruhhhh,bruh,bruh,bro,sarcasm
oof,ooff,oofff,ooffff,oof,oof,ouch,sarcasm
yikes,yikess,yikesss,yikessss,yikes,yikes,yikes,sarcasm
oohs,oohss,oohsss,oohssss,oohs!,oohs!!,oohs,sarcasm
claps,clapss,clapsss,clapssss,claps!,claps!!,claps,sarcasm
encore,encoree,encoreee,encoreeee,encore!,encore!!,encore,sarcasm
standing ovation,standing ovationn,standing ovation!,standing ovation!!,standing ovationn,standing ovationnn,standing ovation,sarcasm
slow clap,slow clapp,slow clap!,slow clap!!,slow clappp,slow clapss,slow clap,sarcasm
gold medal,gold medall,gold medal!,gold medal!!,gold medalll,gold medallll,gold medal,sarcasm
trophy,trophyy,trophy!,trophy!!,trophyyy,trophyyyy,trophy,sarcasm
oscar,oscarr,oscar!,oscar!!,oscarrr,oscarrrr,oscar,sarcasm
nobel prize,nobel prizee,nobel prize!,nobel prize!!,nobel prizee,nobel prizeee,nobel prize,sarcasm
masterpiece,masterpiecee,masterpiece!,masterpiece!!,masterpieceee,masterpieceeee,masterpiece,sarcasm
revolutionary,revolutionaryy,revolutionary!,revolutionary!!,revolutionaryyy,revolutionaryyyy,revolutionary,sarcasm
groundbreaking,groundbreakingg,groundbreaking!,groundbreaking!!,groundbreakinggg,groundbreakingggg,groundbreaking,sarcasm
innovative,innovativee,innovative!,innovative!!,innovativeee,innovativeeee,innovative,sarcasm
stellar,stellarr,stellar!,stellar!!,stellarrr,stellarrrr,stellar,sarcasm
flawless,flawlesss,flawless!,flawless!!,flawlessss,flawlesssss,flawless,sarcasm
immaculate,immaculatee,immaculate!,immaculate!!,immaculateee,immaculateeee,immaculate,sarcasm
divine,divinee,divine!,divine!!,divineee,divineeee,divine,sarcasm
heavenly,heavenlyy,heavenly!,heavenly!!,heavenlyyy,heavenlyyyy,heavenly,sarcasm
godlike,godlikee,godlike!,godlike!!,godlikeee,godlikeeee,godlike,sarcasm
legendary,legendaryy,legendary!,legendary!!,legendaryyy,legendaryyyy,legendary,sarcasm
historic,historicc,historic!,historic!!,historiccc,historicccc,historic,sarcasm
unprecedented,unprecedentedd,unprecedented!,unprecedented!!,unprecedenteddd,unprecedentedddd,unprecedented,sarcasm
mindblowing,mindblowingg,mindblowing!,mindblowing!!,mindblowinggg,mindblowingggg,mindblowing,sarcasm
earthshaking,earthshakingg,earthshaking!,earthshaking!!,earthshakinggg,earthshakingggg,earthshaking,sarcasm
epic,epicc,epic!,epic!!,epiccc,epicccc,epic,sarcasm
monumental,monumentall,monumental!,monumental!!,monumentalll,monumentallll,monumental,sarcasm
colossal,colossall,colossal!,colossal!!,colossalll,colossallll,colossal,sarcasm
gargantuan,gargantuann,gargantuan!,gargantuan!!,gargantuannn,gargantuannnn,gargantuan,sarcasm
majestic,majesticc,majestic!,majestic!!,majesticcc,majesticccc,majestic,sarcasm
regal,regall,regal!,regal!!,regalll,regallll,regal,sarcasm
imperial,imperiall,imperial!,imperial!!,imperialll,imperiallll,imperial,sarcasm
royal,royall,royal!,royal!!,royalll,royallll,royal,sarcasm
princely,princelyy,princely!,princely!!,princelyyy,princelyyyy,princely,sarcasm
kingly,kinglyy,kingly!,kingly!!,kinglyyy,kinglyyyy,kingly,sarcasm
queenly,queenlyy,queenly!,queenly!!,queenlyyy,queenlyyyy,queenly,sarcasm
presidential,presidentiall,presidential!,presidential!!,presidentialll,presidentiallll,presidential,sarcasm
supreme,supremee,supreme!,supreme!!,supremeee,supremeeee,supreme,sarcasm
ultimate,ultimatee,ultimate!,ultimate!!,ultimateee,ultimateeee,ultimate,sarcasm
pinnacle,pinnaclee,pinnacle!,pinnacle!!,pinnacleee,pinnacleeee,pinnacle,sarcasm
zenith,zenithh,zenith!,zenith!!,zenithhh,zenithhhh,zenith,sarcasm
apex,apexx,apex!,apex!!,apexxx,apexxxx,apex,sarcasm
summit,summitt,summit!,summit!!,summittt,summitttt,summit,sarcasm
peak,peakk,peak!,peak!!,peakkk,peakkkk,peak,sarcasm
acme,acmee,acme!,acme!!,acmeee,acmeeee,acme,sarcasm
crest,crestt,crest!,crest!!,cresttt,crestttt,crest,sarcasm
crown,crowwn,crown!,crown!!,crowwnn,crowwnnn,crown,sarcasm
champion,championn,champion!,champion!!,championnn,championnnn,champion,sarcasm
victor,victorr,victor!,victor!!,victorrr,victorrrr,victor,sarcasm
conqueror,conquerorr,conqueror!,conqueror!!,conquerorrr,conquerorrrr,conqueror,sarcasm
hero,heroo,hero!,hero!!,herooo,heroooo,hero,sarcasm
savior,saviorr,savior!,savior!!,saviorrr,saviorrrr,savior,sarcasm
messiah,messiahh,messiah!,messiah!!,messiahhh,messiahhhh,messiah,sarcasm
prophet,prophett,prophet!,prophet!!,prophettt,prophetttt,prophet,sarcasm
guru,guruu,guru!,guru!!,guruuu,guruuuu,guru,sarcasm
maestro,maestroo,maestro!,maestro!!,maestrooo,maestroooo,maestro,sarcasm
virtuoso,virtuosoo,virtuoso!,virtuoso!!,virtuosooo,virtuosoooo,virtuoso,sarcasm
prodigy,prodigyy,prodigy!,prodigy!!,prodigyyy,prodigyyyy,prodigy,sarcasm
wunderkind,wunderkindd,wunderkind!,wunderkind!!,wunderkinddd,wunderkindddd,wunderkind,sarcasm
phenom,phenomm,phenom!,phenom!!,phenommm,phenommmm,phenom,sarcasm
whiz,whizz,whiz!,whiz!!,whizzz,whizzzz,whiz,sarcasm
ace,acee,ace!,ace!!,aceee,aceeee,ace,sarcasm
champ,champp,champ!,champ!!,champpp,champppp,champ,sarcasm
winner,winnner,winner!,winner!!,winnnner,winnnnner,winner,sarcasm
champion,championn,champion!,champion!!,championnn,championnnn,champion,sarcasm
