Word,emotion_category
acha tha,neutral
koi baat nahi,neutral
waise,neutral
shayad nahi,neutral
chalo theek,neutral
acha laga,neutral
thoda,neutral
zyada,neutral
kam,neutral
itna,neutral
utna,neutral
kabhi,neutral
hamesha,neutral
waqt,neutral
baad,neutral
pehle,neutral
aaj,neutral
kal,neutral
ab,neutral
phir,neutral
baar,neutral
thoda sa,neutral
aisa,neutral
waisa,neutral
sab,neutral
kuch,neutral
kisi,neutral
kahan,neutral
kaise,neutral
wah,sarcasm
shabash,sarcasm
mashallah,sarcasm
zabardast,sarcasm
kamaal,sarcasm
acha,sarcasm
nice,sarcasm
good,sarcasm
great,sarcasm
awesome,sarcasm
lol,sarcasm
wow,sarcasm
slay,sarcasm
thanks,sarcasm
ok,sarcasm
sure,sarcasm
really,sarcasm
whatever,sarcasm
periodt,sarcasm
yass,sarcasm
wahiyaad,sarcasm
kya baat,sarcasm
kya scene,sarcasm
jeet gaye,sarcasm
theek hai,sarcasm
sahi hai,sarcasm
excellent,sarcasm
impressive,sarcasm
remarkable,sarcasm
incredible,sarcasm
sheesh,sarcasm
pog,sarcasm
based,sarcasm
ratio,sarcasm
L,sarcasm
W,sarcasm
mid,sarcasm
cringe,sarcasm
skibidi,sarcasm
sigma,sarcasm
rizz,sarcasm
gyatt,sarcasm
grimace,sarcasm
bussin,sarcasm
no cap,sarcasm
bohat aala,sarcasm
kya baat hai,sarcasm
kya scene hai,sarcasm
subhanallah,sarcasm
alhamdulillah,sarcasm
masha allah,sarcasm
insha allah,sarcasm
astaghfirullah,sarcasm
ya allah,sarcasm
subhan allah,sarcasm
fantastic,sarcasm
outstanding,sarcasm
unbelievable,sarcasm
spectacular,sarcasm
marvelous,sarcasm
splendid,sarcasm
extraordinary,sarcasm
phenomenal,sarcasm
exceptional,sarcasm
magnificent,sarcasm
glorious,sarcasm
random,sarcasm
weird,sarcasm
sus,sarcasm
cap,sarcasm
fr,sarcasm
dead,sarcasm
iconic,sarcasm
fanum tax,sarcasm
ohio,sarcasm
npc,sarcasm
bet,sarcasm
drip,sarcasm
fire,sarcasm
goated,sarcasm
valid,sarcasm
lmao,sarcasm
lmfao,sarcasm
rofl,sarcasm
haha,sarcasm
hehe,sarcasm
xd,sarcasm
xdxd,sarcasm
lul,sarcasm
kek,sarcasm
pfft,sarcasm
meh,sarcasm
bruh,sarcasm
oof,sarcasm
yikes,sarcasm
oohs,sarcasm
claps,sarcasm
encore,sarcasm
standing ovation,sarcasm
slow clap,sarcasm
gold medal,sarcasm
trophy,sarcasm
oscar,sarcasm
nobel prize,sarcasm
masterpiece,sarcasm
revolutionary,sarcasm
groundbreaking,sarcasm
innovative,sarcasm
stellar,sarcasm
flawless,sarcasm
immaculate,sarcasm
divine,sarcasm
heavenly,sarcasm
godlike,sarcasm
legendary,sarcasm
historic,sarcasm
unprecedented,sarcasm
mindblowing,sarcasm
earthshaking,sarcasm
epic,sarcasm
monumental,sarcasm
colossal,sarcasm
gargantuan,sarcasm
majestic,sarcasm
regal,sarcasm
imperial,sarcasm
royal,sarcasm
princely,sarcasm
kingly,sarcasm
queenly,sarcasm
presidential,sarcasm
supreme,sarcasm
ultimate,sarcasm
pinnacle,sarcasm
zenith,sarcasm
apex,sarcasm
summit,sarcasm
peak,sarcasm
acme,sarcasm
crest,sarcasm
crown,sarcasm
champion,sarcasm
victor,sarcasm
conqueror,sarcasm
hero,sarcasm
savior,sarcasm
messiah,sarcasm
prophet,sarcasm
guru,sarcasm
maestro,sarcasm
virtuoso,sarcasm
prodigy,sarcasm
wunderkind,sarcasm
phenom,sarcasm
whiz,sarcasm
ace,sarcasm
champ,sarcasm
winner,sarcasm
champion,sarcasm
